student_id,name,gender,age,study_hours,maths,science,english,compSci,attendance,total,average,passed,grade,strongest,gender_short,study_category,age_group,score_quartile
S026,Om,Male,22,3.8,63.9,69.9108695652174,71.89565217391304,80.8,77.6,286.5,71.63,True,B,compSci,M,Low,22-23,Q3
S027,Pooja,Male,20,6.7,36.2,55.3,78.9,57.0,77.4,227.4,56.85,True,C,english,M,Medium,20-21,Q1
S028,Pranav,Male,23,6.9,64.77826086956522,78.2,85.6,69.2,93.2,297.8,74.44,True,B,english,M,Medium,22-23,Q4
S029,Priya,Male,18,11.8,65.9,83.1,83.4,70.5195652173913,89.9,302.9,75.73,True,B,english,M,High,18-19,Q4
S030,Rahul,Male,21,10.7,100.0,57.3,79.8,70.5195652173913,89.8,307.6,76.9,True,B,maths,M,High,20-21,Q4
S031,Riya,Female,19,13.6,62.1,80.5,68.2,66.5,95.7,277.3,69.32,True,C,science,F,High,18-19,Q3
S032,Rohan,Female,21,8.7,69.5,73.4,81.1,52.5,80.3,276.5,69.12,True,C,english,F,Medium,20-21,Q2
S033,Sakshi,Male,19,4.4,64.5,78.7,62.7,92.9,88.2,298.8,74.7,True,B,compSci,M,Low,18-19,Q4
S034,Sanjay,Male,23,11.6,64.77826086956522,92.7,69.2,50.0,76.3,276.7,69.17,True,C,science,M,High,22-23,Q3
S035,Sara,Male,23,12.1,82.1,64.8,66.2,63.8,83.9,276.9,69.22,True,C,maths,M,High,22-23,Q3
S036,Shiv,Female,23,9.7,76.3,58.2,73.0,71.8,78.4,279.3,69.82,True,C,maths,F,Medium,22-23,Q3
S037,Shreya,Male,19,12.3,76.9,69.9108695652174,99.8,90.2,81.2,336.8,84.2,True,B,english,M,High,18-19,Q4
S038,Siddharth,Female,21,8.9,51.4,57.4,49.6,49.9,87.1,208.3,52.08,True,D,science,F,Medium,20-21,Q1
S039,Simran,Female,23,9.3,86.0,67.0,80.2,70.5195652173913,70.2,303.7,75.93,True,B,maths,F,Medium,22-23,Q4
S040,Sneha,Female,22,8.1,44.0,72.4,52.6,70.1,100.0,239.1,59.78,True,C,science,F,Medium,22-23,Q1
S041,Sonal,Female,19,3.3,73.8,71.6,66.3,56.3,67.9,268.0,67.0,True,C,maths,F,Low,18-19,Q2
S042,Tanvi,Female,19,4.3,97.9,78.8,85.1,76.5,65.4,338.3,84.57,True,B,maths,F,Low,18-19,Q4
S043,Tarun,Male,21,3.4,50.1,69.9108695652174,72.8,72.8,93.9,265.6,66.4,True,C,english,M,Low,20-21,Q2
S044,Uma,Male,19,10.6,64.77826086956522,86.9,59.1,61.6,89.5,272.4,68.09,True,C,science,M,High,18-19,Q2
S045,Varun,Male,19,6.8,66.5,64.6,63.4,71.0,87.5,265.5,66.38,True,C,compSci,M,Medium,18-19,Q2
S046,Vidya,Male,23,9.1,57.4,100.0,80.2,64.6,87.5,302.2,75.55,True,B,science,M,Medium,22-23,Q4
S047,Vikram,Male,21,13.9,41.7,76.1,63.2,71.6,79.9,252.6,63.15,True,C,science,M,High,20-21,Q1
S048,Visha,Female,23,6.0,66.0,56.9,74.6,79.3,69.2,276.8,69.2,True,C,compSci,F,Low,22-23,Q3
S049,Yash,Male,23,7.9,49.1,54.1,72.5,92.2,80.9,267.9,66.97,True,C,compSci,M,Medium,22-23,Q2
S050,Zara,Male,21,12.1,72.1,74.3,64.2,52.7,71.9,263.3,65.82,True,C,science,M,High,20-21,Q2
